report_id,display_title,publish_status,source_batch,proposed_analyst_id,proposed_analyst_name,proposed_role,confidence_level,evidence_source,evidence_value,action_recommendation,notes
1d253ea0-0c33-4cc4-bf7d-31ec64a5c7d4,Downstream Sector 2025: Pricing Reform Creates New Winners,review,legacy,a667e183-9761-40b1-965a-cd12de6750db,Bolade Agboola,analyst,medium,title_category_heuristic,oil & gas,review,
f393d033-6d39-4e0d-98f6-338d733ebb43,2025 Debt TAI,published,legacy,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,title_category_heuristic,debt/macro,insert,
20aa34f7-a9ec-4b02-88d7-30d2b529635b,Accesscorp Company Update 2025,published,legacy,aebb5193-74b5-4496-b8f8-477db5043011,Nabila Mohammed,analyst,high,title_category_heuristic,financials,insert,
d2720c50-f3d4-4adc-a11a-e02f9aa82323,Airtel Africa Plc Company Research Update,published,legacy,b18ecc2d-6b05-4f87-b37a-68cef253df94,Tajudeen Ibrahim,analyst,high,title_category_heuristic,telecom,insert,
559f9ac1-2128-4d05-87a1-715e3d2d6ecf,Dangote Cement 9M - 24 Initial Comment,published,legacy,2707f7e6-b1bf-4989-8a2c-e19700c01c4c,Gideon Oshadumi,analyst,high,title_category_heuristic,cement,insert,
04051a6e-baff-4038-848a-32006b32f8ac,Dangote Cement Plc FY - 25 Company Update (1),published,legacy,2707f7e6-b1bf-4989-8a2c-e19700c01c4c,Gideon Oshadumi,analyst,high,title_category_heuristic,cement,insert,
14908ea9-9c36-409a-b2d3-f1d7377d4adb,ETI H1 - 25 INITIAL COMMENTS,review,legacy,,,,none,,,skip,
80c3d5c2-f1dd-4a9b-ba4c-6d37f8864667,FCMB Initial Comments FY - 24,review,legacy,,,,none,,,skip,
08cb2533-adc2-4726-bcab-ffa01cf043b8,Fidelity FY - 24 INITIAL COMMENTS,review,legacy,,,,none,,,skip,
0bc9e39d-014c-4644-bd5e-76d7a0d98aad,First holdco H1 25 results,review,legacy,,,,none,,,skip,
6f1a0130-cdff-4290-a0f6-750e87ee8396,GTCO FY 25 Initial Comments,review,legacy,aebb5193-74b5-4496-b8f8-477db5043011,Nabila Mohammed,analyst,low,title_category_heuristic,financials,review,
25c10963-370a-45e0-867f-32a1cfee6d92,GTCO H1 - 25 Initial Comments,review,legacy,aebb5193-74b5-4496-b8f8-477db5043011,Nabila Mohammed,analyst,low,title_category_heuristic,financials,review,
b2083377-157d-4a5f-bbc8-dd2077b0d241,Lafarge Africa Plc Q1 - 25 INITIAL COMMENTS,review,legacy,,,,none,,,skip,
22eb36bb-eeb7-4dce-9bb3-fa8bbeca7538,MTN Nigeria Communications PLC Initial Comments,review,legacy,b18ecc2d-6b05-4f87-b37a-68cef253df94,Tajudeen Ibrahim,analyst,medium,title_category_heuristic,telecom,review,
73ee3235-769c-461c-a2d9-255a81b2a62c,Nestlé Company Update 2025,review,legacy,,,,none,,,skip,
44ebbdb1-65de-4473-b3a6-8a106e479751,Nestlé Nigeria Plc 9M - 25 Initial Comments,review,legacy,,,,none,,,skip,
a14f3829-5576-45de-8199-91a32c37052e,Okomu Oil Palm Plc 9M - 25 Initial Comments,review,legacy,a667e183-9761-40b1-965a-cd12de6750db,Bolade Agboola,analyst,medium,title_category_heuristic,oil & gas,review,
aba03326-2c64-488f-9375-1e503b36f7e5,Okomu Oil Palm Plc FY - 25 Initial Comments,review,legacy,a667e183-9761-40b1-965a-cd12de6750db,Bolade Agboola,analyst,medium,title_category_heuristic,oil & gas,review,
ffabb911-5219-438f-8a36-b60d355c079f,Presco Plc FY - 25 Initial Comments,review,legacy,,,,none,,,skip,
b122997f-9a8e-4c8f-a013-f9d266f73e2d,Q1 - 25 Presco Company update,review,legacy,,,,none,,,skip,
c3cc184c-18cb-439b-aa9c-95e2340ff75a,Seplat Initial Comments 9M - 2025,review,legacy,,,,none,,,skip,
dd46be6a-7cc9-4278-a567-86269d629128,Seplat Initial Comments FY - 2024,review,legacy,,,,none,,,skip,
794bf32d-e82e-4065-ba64-992feaf35071,Stanbic H1 25 Initial Comments,review,legacy,,,,none,,,skip,
43053e8c-7507-4d77-981b-e3fee86c4832,UBA H1 - 25 Initial comments,review,legacy,,,,none,,,skip,
d0bfb662-5948-405a-beba-30be6c5052b2,Zenith Bank Initial Comments H1 25,review,legacy,aebb5193-74b5-4496-b8f8-477db5043011,Nabila Mohammed,analyst,low,title_category_heuristic,financials,review,
fda1e454-aa56-4249-87a7-943b4f0fedbf,Zenith FY - 25 Initial Comments NEW,review,legacy,aebb5193-74b5-4496-b8f8-477db5043011,Nabila Mohammed,analyst,low,title_category_heuristic,financials,review,
a927d090-62ae-495b-b80b-bbd66632b40f,Daily Market Report (02 - 04 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
ec176ad4-46ea-4bbd-8b7a-29c70933f933,Daily Market Report (03 - 04 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
e920fb4c-1730-4605-a682-017ed175772f,Daily Market Report (04 - 04 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
b3c916d5-041f-4dbc-bb85-1ed401f09ee0,Daily Market Report (07 - 04 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
00bc7dbb-20c6-4cc5-bfed-61255dc04881,Daily Market Report (08 - 04 - 2025),review,batch2a,b5912ff3-e1c8-44ed-9b0a-02b6d8aa44a7,Chapel Hill Denham Research,analyst,high,email_sender_and_report_type,Chapel Hill Denham Research <research@chapelhilldenham.com>,insert,
