db_id,display_title,storage_path
"8a8fd497-bcec-460a-968f-644e08bd36ed","Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-24/Daily Market Report (24-06-2026).pdf"
"4edd3fa4-5026-45c7-a5de-f455d72f65a5","Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-23/Daily Market Report (23-06-2026).pdf"
"6769761e-3bac-4775-8f8d-b10b034d494a","Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-22/Daily Market Report (22-06-2026).pdf"
"c2360bf8-0343-49e7-9eab-f5e499503f67","Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-19/Daily Market Report (19-06-2026).pdf"
"fe6a89a5-735c-479e-91d9-5b0b774f61f0","Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-18/Daily Market Report (18-06-2026).pdf"
"fae5daa9-850b-4706-9339-cc23b96ee7c4","Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-17/Daily Market Report (17-06-2026).pdf"
"d9ec6fb8-1367-4942-946c-b16e1a1bdae6","Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-16/Daily Market Report (16-06-2026).pdf"
"ceb1b742-8ef0-487c-8bf8-e0cf10139c50","Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-15/Daily Market Report (15-06-2026).pdf"
"22cdf67a-afc0-4d84-b375-112afd6ab2f3","Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-11/Daily Market Report (11-06-2026).pdf"
"1a93d694-8f3a-4a33-9623-fd0f4f6afed9","Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-10/Daily Market Report (10-06-2026).pdf"
"05825341-adcd-41e3-a7d7-8362ea18ca4a","Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-08/Daily Market Report (08-06-2026).pdf"
"09914c1b-82b9-42d8-9c48-7eb63780612d","Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-04/Daily Market Report (04-06-2026).pdf"
"d6db5e44-b238-4a82-ac04-302245368019","Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-03/Daily Market Report (03-06-2026).pdf"
"6899af33-05b1-48d8-ad5f-f2c9d6626749","Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-02/Daily Market Report (02-06-2026).pdf"
"2547a098-4c40-4003-8b7b-13ef440a55c6","Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-01/Daily Market Report (01-06-2026).pdf"
"9d522ec2-8856-4afa-b8a8-e8dda9416016","West Africa Weekly Market Report","outlook_research_import/batch2a/west-africa-weekly-market-report-2026-06-22/CHDWAMR 220626.pdf"
"e7e45424-a569-4653-b014-fb2c594fbc61","West Africa Weekly Market Report","outlook_research_import/batch2a/west-africa-weekly-market-report-2026-06-15/CHDWAMR 150626.pdf"
"1f35b446-9d4e-4e9c-9e49-17ebb999b49c","West Africa Weekly Market Report","outlook_research_import/batch2a/west-africa-weekly-market-report-2026-06-08/CHDWAMR 080626.pdf"
"613ad600-36f8-41bd-92e7-b0d95536a2c9","West Africa Weekly Market Report","outlook_research_import/batch2a/west-africa-weekly-market-report-2026-06-01/CHDWAMR010626.pdf"
"d9f5ff51-3d3d-44e7-93ad-6eb50b05888c","Daily Market Summary","outlook_research_import/batch2a/daily-market-summary-2026-06-24/24 June Pricelist.xlsx"
"c8f0baca-5ea1-4ac5-96ea-e3f3a95645d4","Daily Market Summary","outlook_research_import/batch2a/daily-market-summary-2026-06-23/23 June Pricelist.xlsx"
"55e80c3b-76e8-455a-8603-87985d2ccb2e","Ghanaian Daily Market Summary","outlook_research_import/batch2a/ghanaian-daily-market-summary-2026-06-24/Pricelist 24 June 2026.xlsx"
"04202710-92e7-43c5-a0ad-4f058ed04271","Ghanaian Daily Market Summary","outlook_research_import/batch2a/ghanaian-daily-market-summary-2026-06-23/Pricelist 23 June 2026.xlsx"
"7c454687-7def-45df-832d-a32c71704249","Nigeria Corporate Action Tracker","outlook_research_import/batch2a/nigeria-corporate-action-tracker-2026-06-22/Nigeria Corporate Action Tracker 22062026.pdf"
"9280aeae-743a-4558-a019-e15339b72fad","Nigeria Corporate Action Tracker","outlook_research_import/batch2a/nigeria-corporate-action-tracker-2026-06-08/Nigeria Dividend Tracker - 080626.pdf"
"e4ec01b4-af7f-4b07-aba5-b6e103f1fff9","Nigeria Corporate Action Tracker","outlook_research_import/batch2a/nigeria-corporate-action-tracker-2026-06-01/Nigeria Corporate Actions Dividend Tracker - 010626.pdf"
