title,storage_path
"Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-24/Daily Market Report (24-06-2026).pdf"
"Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-23/Daily Market Report (23-06-2026).pdf"
"Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-22/Daily Market Report (22-06-2026).pdf"
"Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-19/Daily Market Report (19-06-2026).pdf"
"Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-18/Daily Market Report (18-06-2026).pdf"
"Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-17/Daily Market Report (17-06-2026).pdf"
"Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-16/Daily Market Report (16-06-2026).pdf"
"Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-15/Daily Market Report (15-06-2026).pdf"
"Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-11/Daily Market Report (11-06-2026).pdf"
"Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-10/Daily Market Report (10-06-2026).pdf"
"Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-08/Daily Market Report (08-06-2026).pdf"
"Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-04/Daily Market Report (04-06-2026).pdf"
"Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-03/Daily Market Report (03-06-2026).pdf"
"Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-02/Daily Market Report (02-06-2026).pdf"
"Daily Market Report","outlook_research_import/batch2a/daily-market-report-2026-06-01/Daily Market Report (01-06-2026).pdf"
"West Africa Weekly Market Report","outlook_research_import/batch2a/west-africa-weekly-market-report-2026-06-22/CHDWAMR 220626.pdf"
"West Africa Weekly Market Report","outlook_research_import/batch2a/west-africa-weekly-market-report-2026-06-15/CHDWAMR 150626.pdf"
"West Africa Weekly Market Report","outlook_research_import/batch2a/west-africa-weekly-market-report-2026-06-08/CHDWAMR 080626.pdf"
"West Africa Weekly Market Report","outlook_research_import/batch2a/west-africa-weekly-market-report-2026-06-01/CHDWAMR010626.pdf"
"Daily Market Summary","outlook_research_import/batch2a/daily-market-summary-2026-06-24/24 June Pricelist.xlsx"
"Daily Market Summary","outlook_research_import/batch2a/daily-market-summary-2026-06-23/23 June Pricelist.xlsx"
"Ghanaian Daily Market Summary","outlook_research_import/batch2a/ghanaian-daily-market-summary-2026-06-24/Pricelist 24 June 2026.xlsx"
"Ghanaian Daily Market Summary","outlook_research_import/batch2a/ghanaian-daily-market-summary-2026-06-23/Pricelist 23 June 2026.xlsx"
"Nigeria Corporate Action Tracker","outlook_research_import/batch2a/nigeria-corporate-action-tracker-2026-06-22/Nigeria Corporate Action Tracker 22062026.pdf"
"Nigeria Corporate Action Tracker","outlook_research_import/batch2a/nigeria-corporate-action-tracker-2026-06-08/Nigeria Dividend Tracker - 080626.pdf"
"Nigeria Corporate Action Tracker","outlook_research_import/batch2a/nigeria-corporate-action-tracker-2026-06-01/Nigeria Corporate Actions Dividend Tracker - 010626.pdf"
