canonical_record_key,migration_batch,source_system,source_priority,legacy_id,file_name,normalized_file_name,source_file_path,proposed_storage_bucket,proposed_storage_path,title,report_date,category,analyst_names,tags,summary_source,draft_summary,draft_excerpt,original_url_or_route,file_exists,sha256,duplicate_group,confidence_score,source_confidence_reason,visibility_recommendation,publish_status_recommendation,legacy_public_status,matched_sources,requires_manual_review_reason,review_status,migration_action,migration_notes
legacy_,legacy_php_seed,php_portal,1,,downstream-sector-2025-pricing-reform-creates-new-winners.pdf,downstream-sector-2025-pricing-reform-creates-new-winners.pdf,uploads/reports/demo/downstream-sector-2025-pricing-reform-creates-new-winners.pdf,research_vault,reports/legacy_/downstream-sector-2025-pricing-reform-creates-new-winners.pdf,Downstream Sector 2025: Pricing Reform Creates New Winners,2025-01-21 09:00:00,sector,,,php_legacy,,,,False,,,high,Structured legacy DB export,internal,needs_review,,legacy,Verify file exists,needs_review,insert,Mapped from PHP DB
codex_2025-debt-tai_2025-09-11,codex_downloaded_reports_scan,codex_manifest,2,,2025 Debt TAI_updated.pdf,2025-debt-tai-updated.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\2025 Debt TAI_updated.pdf,research_vault,reports/staged/2025-debt-tai-updated.pdf,2025 Debt TAI,2025-09-11,fixed-income,,fixed income,codex_draft,Legacy fixed income document staged for manual review: 2025 Debt TAI.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: 2025 Debt TAI.",,True,a75a787261e4f4ecf41c25f555c67acfd3ee6f24fd24617adaf11c136a27b373,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_accesscorp-company-update-2025_2025-11-14,codex_downloaded_reports_scan,codex_manifest,2,,Accesscorp Company Update 2025 updated final.pdf,accesscorp-company-update-2025-updated-final.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\Accesscorp Company Update 2025 updated final.pdf,research_vault,reports/staged/accesscorp-company-update-2025-updated-final.pdf,Accesscorp Company Update 2025,2025-11-14,research-report,,,codex_draft,Legacy research report document staged for manual review: Accesscorp Company Update 2025.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Accesscorp Company Update 2025.",,True,9848411a1dc759bbf9b814036716ba38d590885cf5f50cff49a3cbc848dcc83b,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_airtel-africa-plc-company-research-update_2025-05-16,codex_downloaded_reports_scan,codex_manifest,2,,Airtel Africa Plc Company Research Update.pdf,airtel-africa-plc-company-research-update.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\Airtel Africa Plc Company Research Update.pdf,research_vault,reports/staged/airtel-africa-plc-company-research-update.pdf,Airtel Africa Plc Company Research Update,2025-05-16,equity-research,,equity research; telecommunications,codex_draft,Legacy equity research document staged for manual review: Airtel Africa Plc Company Research Update.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Airtel Africa Plc Company Research Update.",,True,ad42953057de020f21231d7813ce6eafaa252faf29597e3a17d9ce02e56e8c69,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_cadbury-company-update-fy-23_,codex_downloaded_reports_scan,codex_manifest,2,,Cadbury Company Update - FY 23.pdf,cadbury-company-update-fy-23.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\Cadbury Company Update - FY 23.pdf,research_vault,reports/staged/cadbury-company-update-fy-23.pdf,Cadbury Company Update - FY 23,,research-report,,,codex_draft,Legacy research report document staged for manual review: Cadbury Company Update - FY 23.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Cadbury Company Update - FY 23.",,True,a01be58f750f108ee5524cf228270fa2714ec7ce809dbf924be6f828f0ea05b7,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_dangote-cement-9m-24-initial-comment_2024-10-29,codex_downloaded_reports_scan,codex_manifest,2,,Dangote Cement 9M-24 Initial Comment.pdf,dangote-cement-9m-24-initial-comment.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\Dangote Cement 9M-24 Initial Comment.pdf,research_vault,reports/staged/dangote-cement-9m-24-initial-comment.pdf,Dangote Cement 9M - 24 Initial Comment,2024-10-29,sector-research,,sector research,codex_draft,Legacy sector research document staged for manual review: Dangote Cement 9M - 24 Initial Comment.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Dangote Cement 9M - 24 Initial Comment.",,True,5f164e663768428324139a1d986b2df7ce965b4e15d08f88b635a79b91d03b95,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_dangote-cement-plc-fy-25-company-update-1_2026-03-16,codex_downloaded_reports_scan,codex_manifest,2,,Dangote Cement Plc FY-25 Company Update (1).pdf,dangote-cement-plc-fy-25-company-update-1.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\Dangote Cement Plc FY-25 Company Update (1).pdf,research_vault,reports/staged/dangote-cement-plc-fy-25-company-update-1.pdf,Dangote Cement Plc FY - 25 Company Update (1),2026-03-16,equity-research,,equity research,codex_draft,Legacy equity research document staged for manual review: Dangote Cement Plc FY - 25 Company Update (1).,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Dangote Cement Plc FY - 25 Company Update (1).",,True,1958bdf60bcabcdac24831fd739cc211437b20efa0d3e1894970552db02f67f4,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_eti-h1-25-initial-comments_2025-07-29,codex_downloaded_reports_scan,codex_manifest,2,,ETI H1-25 INITIAL COMMENTS.pdf,eti-h1-25-initial-comments.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\ETI H1-25 INITIAL COMMENTS.pdf,research_vault,reports/staged/eti-h1-25-initial-comments.pdf,ETI H1 - 25 INITIAL COMMENTS,2025-07-29,research-report,,,codex_draft,Legacy research report document staged for manual review: ETI H1 - 25 INITIAL COMMENTS.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: ETI H1 - 25 INITIAL COMMENTS.",,True,464544c20e8e01e58d46a368b761b6e61a633c90c52800e69c7f37ba01935ab2,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_fcmb-initial-comments-fy-24_2025-01-30,codex_downloaded_reports_scan,codex_manifest,2,,FCMB Initial Comments FY-24.pdf,fcmb-initial-comments-fy-24.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\FCMB Initial Comments FY-24.pdf,research_vault,reports/staged/fcmb-initial-comments-fy-24.pdf,FCMB Initial Comments FY - 24,2025-01-30,research-report,,,codex_draft,Legacy research report document staged for manual review: FCMB Initial Comments FY - 24.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: FCMB Initial Comments FY - 24.",,True,019c5bc97b5d08f992a0a10e04c1c323ffd9c84eabb5389310fa55af9b22db39,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
codex_fidelity-fy-24-initial-comments_2025-04-02,codex_downloaded_reports_scan,codex_manifest,2,,Fidelity FY-24 INITIAL COMMENTS.pdf,fidelity-fy-24-initial-comments.pdf,C:\Users\aadedoyin\OneDrive - Chapel Hill Denham\Onedrive Desktop\CHD Reports\Company Updates\Fidelity FY-24 INITIAL COMMENTS.pdf,research_vault,reports/staged/fidelity-fy-24-initial-comments.pdf,Fidelity FY - 24 INITIAL COMMENTS,2025-04-02,research-report,,,codex_draft,Legacy research report document staged for manual review: Fidelity FY - 24 INITIAL COMMENTS.,"This legacy research document has been staged from extractable document text and filename. The draft title and category require reviewer validation before any upload, access change, or publication decision. Topic cue: Fidelity FY - 24 INITIAL COMMENTS.",,True,1e24f11af2e7f4c30ce9dba61f8babdf61ba4978b094036007d30afc7af039e1,,low,AI scanned from downloaded files,internal,needs_review,,codex,Unpublished codex scan,needs_review,stage_only,
